datasetKey,datasetTitle
86ade71a-3894-4f17-bcde-f5894bc5e0f7,Cranefly (Diptera; Tipuloidea) records for Britain to 2016
af445805-7681-42d8-92a3-7b37693606e9,Water Bug (Aquatic Heteroptera) data for Britain - records verified via iRecord
2d9bfae9-789c-4a05-954b-ac9e28d0e395,Carrion Beetles of Ireland
27e416d9-ac57-48a6-ad78-55990f7af998,Tachinid Recording Scheme  - GB and Ireland records
70b7c7b1-fbea-4771-8b63-ee1c7fae393d,Scottish river macro-invertebrate records from 2007 collected by SEPA
821765c9-59dc-4310-9970-d82c2eb9eff7,Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Unassessed data
661798f4-8580-439d-9c9a-1e9b64721739,Wasps of Ireland
d5b71529-6cdd-4aea-96e4-7b0660dc7e3d,Holy Loch Food Web
4abd984b-122c-44a0-8c92-b37e2f5299b1,VectorNet observations
772d950d-2cf5-491e-bf31-b670e372b3fc,Tachinid Recording Scheme - Tachinid fly records verified via iRecord
6d2c56f6-9643-429c-b4e6-c752f6a2602a,Lepidoptera Records up to April 2010
bcba1531-fb72-4a70-ade4-3845f58005a6,Odonata records from RSPB Reserves 1970-2009
a7c1e188-5a04-47fb-8fe1-6a3bcbb1b98c,RHS berberis sawfly (Arge berberidis) monitoring
9124d256-aa5f-4172-8f0d-08bf624cf899,Glasgow Museums BRC: Hemiptera
78aedfda-7343-47de-9c19-20339eb756fc,West Wales Online Records
d0cee8f6-dbf9-4355-a9c2-62ab51fe36fd,Invasive Species and Pests
b660c51c-17cc-44e7-973a-bec13da75166,Heteroptera: Records for Kent
04883d31-9c89-4f63-b9f6-578b775c55cc,SEWBReC Hemiptera - True Bugs (South East Wales)
aa734892-b053-4ac2-9b3e-243c347ae481,National Stag Beetle Surveys (Great Stag Hunts)
07609307-26f9-490f-89ea-4e74497e3c0d,Brecknock Wildlife Trust (Now WTSWW Brecknockhire) records held by BIS
4ef9544b-2b9c-49ae-9c82-195d2866ca01,"SEWBReC Grasshoppers, Bush-crickets and allies (South East Wales)"
e0eb19aa-f73c-4e45-917e-d2d3c157ed92,Orthoptera & Allies: Records for Kent
10288b46-163b-4789-a95e-0a7cd0c504d4,"Mayfly (Ephemeroptera) records from Britain and Ireland, via iRecord"
